ID,Time,U,V,T,CLCT
1,2018-05-01 01:00:00,-2.248046875,-3.2578125,12.850000000000023,82.5625
2,2018-05-01 02:00:00,-2.43359375,-1.4462890625,12.850000000000023,100.0
3,2018-05-01 03:00:00,3.365234375,-3.060546875,12.850000000000023,98.375
4,2018-05-01 04:00:00,3.70703125,-6.21875,12.516666666666708,94.875
5,2018-05-01 05:00:00,3.8125,-5.4453125,12.183333333333337,95.875
6,2018-05-01 06:00:00,4.640625,-4.99609375,11.850000000000023,65.375
7,2018-05-01 07:00:00,2.677734375,-5.796875,12.183333333333337,75.1875
8,2018-05-01 08:00:00,0.77783203125,-5.265625,12.516666666666708,90.9375
9,2018-05-01 09:00:00,1.3955078125,-4.359375,12.850000000000023,100.0
10,2018-05-01 10:00:00,1.9052734375,-2.87109375,13.183333333333337,96.875
11,2018-05-01 11:00:00,3.2265625,-1.9365234375,13.516666666666708,96.5625
12,2018-05-01 12:00:00,3.5703125,-2.794921875,13.850000000000023,97.5625
13,2018-05-01 13:00:00,2.173828125,-3.90625,14.183333333333337,100.0
14,2018-05-01 14:00:00,1.2197265625,-3.896484375,14.516666666666708,98.75
15,2018-05-01 15:00:00,0.81787109375,-3.78125,14.850000000000023,89.4375
16,2018-05-01 16:00:00,0.187255859375,-3.900390625,14.516666666666708,78.0
17,2018-05-01 17:00:00,-0.1962890625,-3.970703125,14.183333333333337,58.34375
18,2018-05-01 18:00:00,1.2158203125,-4.9375,13.850000000000023,72.6875
19,2018-05-01 19:00:00,2.40625,-6.1796875,13.516666666666708,97.25
20,2018-05-01 20:00:00,3.0234375,-7.18359375,13.183333333333337,71.3125
21,2018-05-01 21:00:00,1.650390625,-6.76953125,12.850000000000023,85.125
22,2018-05-01 22:00:00,1.0380859375,-6.74609375,12.183333333333337,84.625
23,2018-05-01 23:00:00,0.89404296875,-6.203125,11.516666666666708,82.5
24,2018-05-02 00:00:00,2.341796875,-6.1015625,10.850000000000023,92.125
25,2018-05-02 01:00:00,1.9541015625,-6.51953125,10.683333333333337,100.0
26,2018-05-02 02:00:00,2.1796875,-7.09375,10.516666666666708,100.0
27,2018-05-02 03:00:00,2.94921875,-7.58984375,10.350000000000023,100.0
28,2018-05-02 04:00:00,3.5234375,-8.34375,10.183333333333337,100.0
29,2018-05-02 05:00:00,3.404296875,-8.5078125,10.016666666666708,40.59375
30,2018-05-02 06:00:00,2.51171875,-6.75390625,9.850000000000023,91.375
31,2018-05-02 07:00:00,1.9521484375,-7.5390625,11.183333333333337,100.0
32,2018-05-02 08:00:00,1.7734375,-7.7421875,12.516666666666708,53.875
33,2018-05-02 09:00:00,1.533203125,-7.484375,13.850000000000023,99.5625
34,2018-05-02 10:00:00,1.8017578125,-7.41015625,14.850000000000023,99.75
35,2018-05-02 11:00:00,2.5234375,-7.14453125,15.850000000000023,97.5625
36,2018-05-02 12:00:00,2.3203125,-6.015625,16.850000000000023,10.4765625
37,2018-05-02 13:00:00,3.216796875,-6.07421875,17.51666666666671,73.875
38,2018-05-02 14:00:00,3.775390625,-6.90625,18.183333333333337,97.75
39,2018-05-02 15:00:00,3.697265625,-7.6953125,18.850000000000023,93.5
40,2018-05-02 16:00:00,4.01953125,-8.0078125,18.183333333333337,99.875
