,timestamp,air_temperature,dew_temperature,sea_level_pressure,wind_direction,wind_speed
0,2016-01-01 00:00:00,3.8,2.4,1021.0,240.0,3.1
1,2016-01-01 01:00:00,3.7,2.4,1021.5,230.0,2.6
2,2016-01-01 02:00:00,2.6,1.9,1022.0,0.0,0.0
3,2016-01-01 03:00:00,2.0,1.2,1022.5,170.0,1.5
4,2016-01-01 04:00:00,2.3,1.8,1022.5,110.0,1.5
5,2016-01-01 05:00:00,2.4,2.0,1023.0,100.0,1.0
6,2016-01-01 06:00:00,2.3,1.8,1023.0,90.0,1.5
7,2016-01-01 07:00:00,2.6,1.9,1022.5,80.0,1.0
8,2016-01-01 08:00:00,2.2,1.5,1022.5,60.0,1.0
9,2016-01-01 09:00:00,2.2,1.2,1022.0,100.0,2.6
10,2016-01-01 10:00:00,4.0,1.8,1021.0,90.0,4.1
11,2016-01-01 11:00:00,5.4,1.9,1020.5,120.0,3.6
12,2016-01-01 12:00:00,7.0,4.4,1019.0,120.0,5.1
13,2016-01-01 13:00:00,7.2,4.4,1017.5,110.0,5.7
14,2016-01-01 14:00:00,7.4,4.5,1016.0,100.0,5.1
15,2016-01-01 15:00:00,7.5,5.6,1015.0,100.0,7.2
16,2016-01-01 16:00:00,7.6,6.7,1014.0,110.0,5.7
17,2016-01-01 17:00:00,8.0,7.1,1012.5,120.0,6.7
18,2016-01-01 18:00:00,8.1,6.5,1011.0,130.0,7.7
19,2016-01-01 19:00:00,8.1,6.3,1010.0,120.0,8.8
20,2016-01-01 20:00:00,8.2,6.2,1009.0,120.0,8.2
21,2016-01-01 21:00:00,8.5,6.1,1007.5,120.0,8.2
22,2016-01-01 22:00:00,8.3,6.5,1006.5,130.0,8.2
23,2016-01-01 23:00:00,7.9,7.0,1005.0,130.0,7.2
24,2016-01-02 00:00:00,8.1,7.4,1004.0,130.0,7.2
25,2016-01-02 01:00:00,8.2,7.7,1002.5,110.0,8.2
26,2016-01-02 02:00:00,8.5,8.1,1002.0,120.0,6.7
27,2016-01-02 03:00:00,9.1,8.2,1001.0,130.0,7.2
28,2016-01-02 04:00:00,9.3,8.3,1000.0,130.0,7.2
29,2016-01-02 05:00:00,9.6,8.4,999.0,130.0,8.2
30,2016-01-02 06:00:00,9.7,8.4,998.5,130.0,7.7
