ID,Time,U,V,T,CLCT,w_vel,w_dir
1,2018-05-01 01:00:00,-2.248046875,-3.2578125,12.850000000000023,82.5625,3.958163341419037,34.60753717172451
2,2018-05-01 02:00:00,-2.43359375,-1.4462890625,12.850000000000023,100.0,2.8309239820853884,59.2769094101174
3,2018-05-01 03:00:00,3.365234375,-3.060546875,12.850000000000023,98.375,4.54881848096337,312.2852729373281
4,2018-05-01 04:00:00,3.70703125,-6.21875,12.516666666666708,94.875,7.2398157608447855,329.20059659953364
5,2018-05-01 05:00:00,3.8125,-5.4453125,12.183333333333337,95.875,6.647299035898434,325.0024631656493
6,2018-05-01 06:00:00,4.640625,-4.99609375,11.850000000000023,65.375,6.818823443191213,317.1125063248348
7,2018-05-01 07:00:00,2.677734375,-5.796875,12.183333333333337,75.1875,6.385453871784028,335.2064993230015
8,2018-05-01 08:00:00,0.77783203125,-5.265625,12.516666666666708,90.9375,5.322765193906594,351.5971015976555
9,2018-05-01 09:00:00,1.3955078125,-4.359375,12.850000000000023,100.0,4.577290950482997,342.24927429851664
10,2018-05-01 10:00:00,1.9052734375,-2.87109375,13.183333333333337,96.875,3.4457577095512866,326.43153157197804
11,2018-05-01 11:00:00,3.2265625,-1.9365234375,13.516666666666708,96.5625,3.7630876405410847,300.9714065092651
12,2018-05-01 12:00:00,3.5703125,-2.794921875,13.850000000000023,97.5625,4.53417243110689,308.0546479418817
13,2018-05-01 13:00:00,2.173828125,-3.90625,14.183333333333337,100.0,4.47038228561507,330.90406222459137
14,2018-05-01 14:00:00,1.2197265625,-3.896484375,14.516666666666708,98.75,4.082930733172828,342.6181797391311
15,2018-05-01 15:00:00,0.81787109375,-3.78125,14.850000000000023,89.4375,3.8686903066143485,347.79513754170307
16,2018-05-01 16:00:00,0.187255859375,-3.900390625,14.516666666666708,78.0,3.9048830692426835,357.2513679456842
17,2018-05-01 17:00:00,-0.1962890625,-3.970703125,14.183333333333337,58.34375,3.975551874009682,2.8300748378943155
18,2018-05-01 18:00:00,1.2158203125,-4.9375,13.850000000000023,72.6875,5.084990194905748,346.16658205043603
19,2018-05-01 19:00:00,2.40625,-6.1796875,13.516666666666708,97.25,6.631634539097902,338.7250300282933
20,2018-05-01 20:00:00,3.0234375,-7.18359375,13.183333333333337,71.3125,7.793920289651756,337.17470345888603
21,2018-05-01 21:00:00,1.650390625,-6.76953125,12.850000000000023,85.125,6.967807586308225,346.2987474146471
22,2018-05-01 22:00:00,1.0380859375,-6.74609375,12.183333333333337,84.625,6.825496560501977,351.25196797416316
